Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated,Season,Opponent_Rank_At_Game
Oklahoma State,bigdaddydoubles,9,"Sat, Oct 31",Away,4,Oklahoma,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,10,"Sat, Nov 7",Away,-,Kansas State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,11,"Sat, Nov 14",Home,11,Texas Tech,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,12,"Sat, Nov 21",Home,-,Air Force,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,13,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:14,2026,
Oklahoma State,bigdaddydoubles,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:14,2026,
Pittsburgh,aalexbailey,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:28,2026,
Pittsburgh,aalexbailey,1,"Sat, Sep 5",Home,-,Penn State,CPU,User vs CPU,Completed,W,43.0,37.0,6.0,2026-08-08 12:18:28,2026,17
Pittsburgh,aalexbailey,2,"Sat, Sep 12",Home,15,Virginia,jdwright1414,User vs User,Completed,W,49.0,14.0,35.0,2026-08-08 12:18:28,2026,22
Pittsburgh,aalexbailey,3,"Sat, Sep 19",Away,-,Wake Forest,CPU,User vs CPU,Completed,W,49.0,35.0,14.0,2026-08-08 12:18:28,2026,-
Pittsburgh,aalexbailey,4,"Sat, Sep 26",Home,-,Clemson,CPU,User vs CPU,Completed,W,63.0,59.0,4.0,2026-08-08 12:18:28,2026,-
Pittsburgh,aalexbailey,5,"Sat, Oct 3",Home,-,Virginia Tech,rooke1221,User vs User,Completed,W,59.0,14.0,45.0,2026-08-08 12:18:28,2026,-
Pittsburgh,aalexbailey,6,"Sat, Oct 10",Away,-,North Carolina,CPU,User vs CPU,Completed,W,55.0,28.0,27.0,2026-08-08 12:18:28,2026,-
Pittsburgh,aalexbailey,7,"Sat, Oct 17",Home,-,Boston College,CPU,User vs CPU,Completed,W,65.0,35.0,30.0,2026-08-08 12:18:28,2026,-
Pittsburgh,aalexbailey,8,"Sat, Oct 24",Home,-,Georgia,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:28,2026,
Pittsburgh,aalexbailey,9,"Sat, Oct 31",Away,-,Duke,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,10,"Sat, Nov 7",Home,-,UCF,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,11,"Sat, Nov 14",Away,-,Florida State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,12,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,13,"Sat, Nov 28",Home,-,UTEP,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:17,2026,
Pittsburgh,aalexbailey,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:17,2026,
SMU,cfuller23,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:28,2026,
SMU,cfuller23,1,"Mon, Sep 7",Home,-,Florida State,CPU,User vs CPU,Completed,W,63.0,17.0,46.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,2,"Sat, Sep 12",Home,22,Boise State,CPU,User vs CPU,Completed,W,49.0,45.0,4.0,2026-08-08 12:18:28,2026,-
SMU,cfuller23,3,"Sat, Sep 19",Away,-,Stanford,bearofswag,User vs User,Completed,W,38.0,17.0,21.0,2026-08-08 12:18:28,2026,-
