Season,Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated
2026,Pittsburgh,aalexbailey,12,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:56
2026,Pittsburgh,aalexbailey,13,"Sat, Nov 28",Home,-,UTEP,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:56
2026,Pittsburgh,aalexbailey,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:56
2026,Pittsburgh,aalexbailey,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:56
2026,Pittsburgh,aalexbailey,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:56
2026,SMU,cfuller23,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,1,"Mon, Sep 7",Home,-,Florida State,CPU,User vs CPU,Completed,W,63.0,17.0,46.0,2026-07-24 16:44:06
2026,SMU,cfuller23,2,"Sat, Sep 12",Home,-,Boise State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,3,"Sat, Sep 19",Away,-,Stanford,bearofswag,User vs User,Upcoming,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,4,"Sat, Sep 26",Away,-,Air Force,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,5,"Thu, Oct 1",Home,-,Colorado State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,6,"Sat, Oct 10",Away,-,New Mexico,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,7,"Sat, Oct 17",Away,-,San Jose State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:06
2026,SMU,cfuller23,8,"Sat, Oct 24",Home,-,Utah State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,9,"Sat, Oct 31",Home,-,Nevada,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,10,"Sat, Nov 7",Away,-,North Dakota State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,11,"Sat, Nov 14",Home,-,Wake Forest,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,12,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,13,"Sat, Nov 28",Away,3,Notre Dame,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:05
2026,SMU,cfuller23,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:05
2026,South Carolina,Clemson256,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,1,"Sat, Sep 5",Home,-,UConn,CPU,User vs CPU,Completed,W,56.0,0.0,56.0,2026-07-24 16:44:39
2026,South Carolina,Clemson256,2,"Sat, Sep 12",Away,-,Vanderbilt,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,3,"Sat, Sep 19",Home,-,Mississippi State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,4,"Sat, Sep 26",Away,13,Alabama,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,6,"Sat, Oct 10",Home,25,Florida,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,7,"Sat, Oct 17",Away,-,Auburn,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:39
2026,South Carolina,Clemson256,8,"Sat, Oct 24",Away,20,Tennessee,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,9,"Sat, Oct 31",Home,-,Virginia Tech,Rooke1221,User vs User,Upcoming,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,10,"Sat, Nov 7",Home,8,Texas A&M,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,11,"Sat, Nov 14",Home,-,Arkansas,Clemsontigers1,User vs User,Upcoming,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,12,"Sat, Nov 21",Home,4,Georgia,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,13,"Sat, Nov 28",Away,-,Clemson,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:43
2026,South Carolina,Clemson256,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:44:43
2026,Stanford,bearofswag,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,1,"Fri, Sep 4",Home,6,Miami,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,2,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,3,"Sat, Sep 19",Home,22,SMU,cfuller23,User vs User,Upcoming,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,4,"Sat, Sep 26",Home,19,Utah,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,5,"Sat, Oct 3",Home,12,BYU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,6,"Sat, Oct 10",Away,3,Notre Dame,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,7,"Sat, Oct 17",Home,-,Washington State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:45:22
2026,Stanford,bearofswag,8,"Sat, Oct 24",Away,-,Arizona,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:47:10
2026,Stanford,bearofswag,9,"Sat, Oct 31",Away,15,USC,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:47:10
